zip,mean_bail_amount,mean_bail_paid,med_bail_amount,med_bail_paid
01742,0.0,0.0,0,0
01920,0.0,0.0,0,0
02324,250000.0,0.0,250000,0
02893,250000.0,0.0,250000,0
06415,0.0,0.0,0,0
07010,0.0,0.0,0,0
07104,150000.0,0.0,150000,0
07206,100000.0,10000.0,100000,10000
07436,10000.0,0.0,10000,0
07631,750000.0,0.0,750000,0
07644,25000.0,2500.0,25000,2500
07735,2500.0,250.0,2500,250
07746,0.0,0.0,0,0
07866,0.0,0.0,0,0
08002,20000.0,1000.0,30000,0
08003,0.0,0.0,0,0
08006,150000.0,0.0,150000,0
08008,100000.0,0.0,100000,0
08009,2500.0,0.0,2500,0
08012,36000.0,600.0,0,0
08015,50000.0,0.0,50000,0
08016,27500.0,2750.0,17500,1750
08021,37650.0,0.0,37650,0
08026,50000.0,0.0,50000,0
08028,12500.0,0.0,12500,0
08030,75000.0,2500.0,75000,0
08031,0.0,0.0,0,0
08034,15000.0,0.0,15000,0
08035,50000.0,5000.0,50000,5000
08037,1833.3333333333333,183.33333333333334,2500,250
08043,15000.0,833.3333333333334,20000,0
08046,14750.0,850.0,5000,0
08049,50000.0,5000.0,0,0
08051,125000.0,0.0,125000,0
08052,66666.66666666667,0.0,50000,0
08053,2750.0,0.0,2500,0
08054,8333.333333333334,833.3333333333334,0,0
08057,0.0,0.0,0,0
08059,0.0,0.0,0,0
08062,10000.0,1000.0,10000,1000
08063,0.0,0.0,0,0
08065,10000.0,1000.0,10000,1000
08066,25000.0,0.0,25000,0
08069,1400.0,140.0,0,0
08071,15000.0,1500.0,15000,1500
08075,85714.28571428571,0.0,0,0
08077,0.0,0.0,0,0
08078,25000.0,0.0,25000,0
08079,75150.0,0.0,75150,0
08080,0.0,0.0,0,0
08081,25909.090909090908,545.4545454545455,10000,0
08086,25000.0,2500.0,25000,2500
08093,3000.0,0.0,3000,0
08094,37428.57142857143,3571.4285714285716,12000,0
08096,26000.0,2600.0,5000,500
08097,5000.0,500.0,5000,500
08102,0.0,0.0,0,0
08104,5000.0,300.0,5000,0
08105,28055.555555555555,27.77777777777778,0,0
08107,12500.0,0.0,12500,0
08108,0.0,0.0,0,0
08109,2500.0,0.0,2500,0
08110,0.0,0.0,0,0
08204,0.0,0.0,0,0
08232,0.0,0.0,0,0
08234,50000.0,0.0,50000,0
08251,0.0,0.0,0,0
08261,25000.0,0.0,25000,0
08308,0.0,0.0,0,0
08314,0.0,0.0,0,0
08321,20000.0,2000.0,20000,2000
08322,20000.0,0.0,20000,0
08328,0.0,0.0,0,0
08332,50000.0,3333.3333333333335,50000,0
08346,5000.0,0.0,5000,0
08360,0.0,0.0,0,0
08361,10000.0,0.0,10000,0
08401,37500.0,3750.0,37500,3750
08505,50000.0,5000.0,0,0
08550,25000.0,0.0,25000,0
