"","zip","bail_amount"
"1","19123",3e+05
"2","19121",50000
"3","19124",7500
"4","19135",5000
"5","19144",0
"6","19120",1e+05
"8","19143",0
"9","19111",150000
"10","19131",50000
"11","19124",10000
"13","19134",10000
"14","19147",10000
"16","19007",75000
"17","19131",0
"18","19143",25000
"19","19111",0
"20","8102",0
"21","19143",0
"22","19144",0
"23","19122",5000
"24","19146",50000
"25","19142",2500
"26","19134",0
"27","19143",0
"28","19140",25000
"29","19140",3700
"30","19138",5000
"31","19140",0
"32","19143",25000
"33","8054",20000
"34","19132",250000
"35","19132",0
"36","19140",1e+05
"37","19082",0
"38","19133",0
"39","19153",5000
"40","19145",50000
"41","19124",0
"42","19119",50000
"43","19126",0
"44","19132",0
"45","19134",0
"46","19131",20000
"47","19154",0
"49","19151",5e+05
"50","19141",0
"51","19126",35000
"52","8611",25000
"53","19120",0
"54","19139",0
"55","19134",250000
"56","19140",0
"57","19082",3000
"58","19140",2e+05
"59","19119",300
"60","19120",1e+05
"61","19124",5000
"62","19139",0
"63","19135",25000
"66","19153",0
"67","8046",0
"68","19134",250000
"69","19143",50000
"70","19121",0
"71","19139",0
"72","19135",25000
"73","19140",25000
"74","11208",12000
"75","8053",5000
"76","19132",7500
"77","19026",5e+05
"78","19142",10000
"79","19124",0
"80","19149",250000
"81","19120",0
"82","19103",0
"83","19121",50000
"84","19148",0
"85","19135",10000
"86","19122",10000
"87","19139",1e+05
"88","19142",0
"89","19135",25000
"90","19124",0
"91","19146",0
"92","19144",20000
"93","19135",0
"94","19148",2500
"95","19114",2e+05
"96","19120",20000
"97","19143",15000
"98","19148",15000
"100","19147",20000
"101","19140",12000
"102","19121",15000
"103","19134",10000
"104","19140",0
"105","19134",75000
"106","19120",50000
"107","19141",5000
"108","19124",10000
"109","19133",35000
"110","19133",75000
"111","19143",20000
"112","19132",50000
"113","19134",20000
"114","19138-1725",2e+05
"115","19114",5000
"117","19154",0
"118","21921",0
"119","19124",10000
"120","18951",0
"121","19130",25000
"122","19134",25000
"123","19111",25000
"124","19121",15000
"126","19140",2e+05
"127","19140",15000
"128","19144",20000
"130","19140",50000
"131","19120",50000
"132","19030",50000
"134","19134",0
"135","19148",2e+05
"136","19151",25000
"137","19136",50000
"138","19142",0
"139","19149",10000
"141","19132",3700
"142","19121",0
"143","19148",1e+05
"144","19119",250000
"145","19140",50000
"146","19143",1e+05
"147","19107",1e+05
"148","19144",0
"149","19128",0
"150","19141",0
"151","19026",0
"152","19141",25000
"153","19111",10000
"154","19144",10000
"155","19000",15000
"156","19142",0
"157","19124",10000
"158","19104",10000
"159","19124",250000
"160","19131-4323",10000
"161","19134",0
"162","8361",10000
"163","19124",10000
"164","19120",0
"166","19124",10000
"167","19013",3500
"168","19134",20000
"169","19140",2500
"170","19124",250000
"171","19154",0
"172","19143",15000
"173","19142",0
"174","19120",1e+05
"175","19111",25000
"176","19133",5000
"177","19133",25000
"178","19140",0
"179","19120",5000
"181","19132",20000
"182","19121",1e+05
"183","19139",10000
"184","19141",2500
"185","19145",150000
"186","19120",0
"187","19135",1e+05
"189","19938",30000
"190","19133",5000
"191","19131",0
"192","19114",25000
"193","19145",5000
"194","19140",5000
"195","19139",75000
"196","19032",50000
"197","19134",5000
"198","19131",0
"199","19133",0
"200","19140",0
"201","19154",0
"202","19134",1e+05
"203","19141",0
"204","18902",0
"205","19134",10000
"206","19125",5000
"207","19004",0
"208","15210",0
"209","19132",0
"210","19132",0
"211","19132",5000
"212","19124",5000
"213","19120",10000
"214","19102",10000
"215","19152",0
"216","19132",10000
"217","19143",0
"218","19133",5000
"219","19138",250000
"220","19020",0
"221","19134",10000
"222","19134",0
"223","19120",3e+05
"225","19140",0
"226","19141",5000
"227","19139",20000
"228","19138",150000
"229","19104",5000
"230","19053",10000
"231","19142",10000
"232","19146",250000
"233","19133",0
"234","19125",25000
"235","19140",15000
"236","19803",150000
"237","19135",1e+05
"238","17602",5000
"239","19133",7500
"240","19134",1e+05
"241","19143",50000
"243","19803",50000
"245","19135",0
"246","19139",6700
"247","19135",0
"248","19134",6700
"249","19125",25000
"250","19128",75000
"251","19143",25000
"252","19135",0
"253","19144",150000
"254","19132",0
"255","19138",0
"256","19150",50000
"257","19140",2e+05
"259","19133",10000
"260","19134",0
"261","19140",10000
"262","19144",50000
"263","19138",2e+05
"264","19111",0
"265","19143",20000
"266","19014",5000
"267","19144",150000
"268","19023",225000
"269","19138",75000
"270","19007",5000
"271","19135",25000
"272","19124",150000
"273","19120",10000
"274","19150",0
"275","19132",3000
"276","19149",50000
"277","19320",5000
"278","19132",0
"279","17044",0
"280","19141",0
"281","19067",0
"282","19149",75000
"283","19605",1e+05
"284","18976",0
"285","19134",0
"286","19120",50000
"287","19141",0
"288","17602",50000
"289","19135",5000
"290","19148",250000
"291","19133",50000
"292","19142",0
"293","19149",0
"294","19134",25000
"295","19133",2e+05
"297","19134",0
"298","19131",10000
"299","19148",250000
"300","19142",150000
"301","19134",0
"302","19144",0
"303","19144",2500
"304","19120",30000
"305","19131",5e+05
"306","19132",6000
"307","19126",30000
"308","19141",7500
"309","19132",5000
"310","21921",0
"311","19151",0
"312","19134",75000
"313","19144",0
"314","19120",30000
"315","19145",50000
"316","19134",5e+05
"317","19139",20000
"318","8035",50000
"319","19148",5e+05
"320","19146",0
"321","19033",1000
"322","19145",50000
"323","19133",1e+06
"324","19149",5000
"325","19133",0
"326","19147",0
"327","19151",7500
"328","19149",7500
"329","19013",5000
"330","19144",15000
"331","19134",1e+05
"333","19142",5e+05
"334","19133",0
"335","19145",15000
"336","19123",10000
"337","19033",1000
"338","19146",5000
"339","19120",0
"340","19124",25000
"341","19111",0
"342","19120",0
"343","19120",0
"344","19138",5000
"345","19119",5000
"346","8081",0
"347","19100",25000
"348","19151",5000
"349","19124",10000
"350","19141",5000
"351","19053",0
"352","19125",10000
"353","8096",0
"354","19145",0
"355","19111",5000
"356","19138",25000
"357","19140",10000
"358","10987",5000
"359","19119",0
"360","19134",0
"361","19144",7500
"362","19144",20000
"363","8096",0
"364","19145",10000
"365","19023",250000
"366","19141",5e+05
"368","19139",250000
"369","19100",25000
"370","19808",0
"371","19801",50000
"372","19120",5000
"374","19131",5000
"375","19100",25000
"376","19134",7500
"377","19125",15000
"378","19601",0
"379","19142",30000
"380","19133",10000
"381","18504",25000
"382","19131",5000
"383","19123",150000
"384","19134",0
"385","19134",0
"386","19805",0
"387","19124",50000
"388","19140",10000
"389","19144",0
"390","19104",5000
"391","19801",50000
"392","18103",10000
"393","19131",50000
"394","191",999999
"395","19140",0
"396","19140",150000
"397","19146",0
"398","19129",300
"399","19134",25000
"400","19139",25000
"401","19140",20000
"402","19140",0
"403","19111",0
"404","19134",0
"405","19144",0
"406","19144",75000
"407","19144",50000
"408","19121",9e+05
"409","19121",0
"410","19120",0
"411","19082",2500
"412","19139",0
"413","19132",0
"414","19120",0
"415","19104",25000
"416","19143",25000
"417","8094",50000
"418","19146",15000
"419","19142",10000
"420","19141",5000
"421","19148",0
"422","19111",0
"423","19144",0
"424","19120",0
"425","19144",50000
"426","19132",0
"427","19164",1e+05
"428","19140",10000
"429","19144",5000
"430","19120",10000
"431","19125",0
"432","19139",3700
"433","19143",0
"434","19124",0
"435","21784",2e+05
"437","19131",20000
"438","19140",50000
"439","19135",0
"440","19139",0
"441","19132",8000
"442","19132",250000
"443","19134",10000
"444","19124",35000
"445","19140",20000
"446","19097",7500
"447","19132",0
"448","19141",10000
"449","19139",0
"450","19121",50000
"451","8075",0
"452","19143",0
"453","19131",20000
"454","19132",70000
"455","19151",125000
"456","19050",50000
"457","19134",5000
"458","19121",0
"459","19124",25000
"460","19138",5000
"461","19143",0
"462","19138",35000
"463","19147",0
"464","19121",2500
"465","19140",10000
"466","19142",250000
"467","19013",25000
"468","19132",25000
"469","19067",0
"470","19149",0
"471","19139",0
"472","19116",150000
"473","19142",0
"475","19134",0
"476","19124",2e+05
"477","19143",0
"478","19124",10000
"479","19124",0
"480","19132",0
"481","19132",0
"482","19143",150000
"483","19128",0
"484","19124",50000
"485","19133",15000
"486","19114",0
"487","19140",35000
"488","19133",3700
"489","19121",5000
"490","19134",0
"491","19138",0
"492","19135",1500
"493","19144",5000
"494","19104",0
"495","19145",50000
"496","19120",0
"497","19150",25000
"498","19067",10000
"499","19139",50000
"500","19132",20000
"501","19143",50000
"502","19120",10000
"503","19143",7500
"504","19134",0
"505","19143",5000
"506","19134",1e+05
"507","19139",5000
"508","19111",10000
"509","19111",0
"510","19143",50000
"511","19124",1e+05
"512","19120",0
"513","19079",0
"514","19134",125000
"515","19145",0
"516","19134",0
"517","19143",0
"518","19143",20000
"519","19143",5000
"520","19133",10000
"521","19146",750000
"522","19140",10000
"523","19134",60000
"524","19134",150000
"525","19154",0
"526","19141",0
"527","19119",0
"528","19144",50000
"529","19139",10000
"530","19083",1e+05
"532","19124",50000
"533","19147",300
"534","19141",15000
"535","19143",5000
"536","19120",0
"537","19142",20000
"538","19134",250000
"539","19144",20000
"541","19119",75000
"543","19138",7500
"544","19140",1e+05
"545","19120",10000
"546","19134",0
"547","19126",0
"548","19111",10000
"549","19131",0
"550","19138",10000
"551","19131-4341",30000
"553","19446",10000
"554","19133",0
"555","19134",20000
"556","19114",25000
"557","19120",25000
"558","19014",0
"559","19067",0
"560","18954",50000
"561","19140",10000
"562","19121",50000
"563","19140",35000
"564","19134",50000
"565","19020",10000
"566","19120",50000
"567","19143",50000
"568","19130",0
"570","19142",0
"571","19702",5000
"572","19144",0
"573","19130",0
"574","19138",2500
"575","19120",2500
"576","19131",75000
"577","19135",15000
"578","19154-3921",5e+05
"579","19144",5000
"580","19134",15000
"581","19114",0
"582","19143",0
"583","19124",50000
"584","19143",20000
"585","19140",20000
"586","19143",20000
"587","19141",5000
"588","19143",75000
"590","19140",10000
"591","19121",0
"592","19144",0
"593","19145",25000
"594","19154-3921",4e+05
"595","19120",5000
"596","19135",0
"598","19120",250000
"600","19149",30000
"601","19153",5000
"602","19146",5000
"603","19140",75000
"604","19124",50000
"605","19122",25000
"606","19128",1e+05
"607","19143",15000
"608","19023",1e+05
"609","19140",5000
"610","19142",25000
"611","19143",2500
"612","19138",0
"613","19139",10000
"614","19135",25000
"615","19145",10000
"616","19401",0
"617","19141",15000
"618","19133",25000
"619","19131",2500
"620","19134",10000
"621","19143",50000
"622","19133",10000
"623","19142",20000
"626","19143",0
"627","19047",15000
"628","19702",25000
"629","19154",10000
"630","19124",0
"631","19146",2e+05
"632","19120",1e+05
"633","19143",5000
"634","19126",0
"635","19125",30000
"636","19133",0
"637","19138",0
"638","19100",5e+05
"639","19120",1e+05
"640","8105",0
"641","19131",2e+05
"642","19134",15000
"643","19702",10000
"644","19141",12000
"645","19140",0
"646","19123",1e+05
"647","19134",0
"648","19139",50000
"649","19121",10000
"650","19143",0
"651","19134",0
"652","19082",0
"654","19120",0
"656","19111",25000
"657","19134",5000
"658","19134",2500
"659","19134",75000
"660","19136",10000
"661","19050",10000
"662","19139",2500
"663","19131",250000
"664","8611",150000
"665","19131",0
"666","19153",0
"667","19134",2500
"668","19454",0
"669","19136",10000
"670","19136",150000
"671","19120",50000
"672","19131",250000
"673","19143",10000
"674","19133",0
"675","19120",40000
"676","19149",5000
"677","19138",3e+05
"678","19111",25000
"679","19149",10000
"680","19145",0
"681","19133",5000
"682","8021",300
"683","19116",250000
"684","19143",2e+05
"685","19148",15000
"686","19141",0
"687","19139",150000
"688","8052",50000
"689","19123",2500
"690","19140",75000
"691","19123",20000
"692","19132",0
"693","19142",5000
"694","19143",25000
"695","30165",1e+05
"696","19124",40000
"697","19139",0
"698","19141",0
"699","19123",2500
"700","19140",75000
"702","19145",20000
"703","19124",10000
"704","19140",15000
"705","19143",50000
"706","19140",1e+05
"707","19133",0
"708","19801",0
"709","19013",20000
"710","19111",75000
"711","19143",25000
"712","19119",50000
"713","19411",20000
"714","19139",2500
"715","19120",22500
"716","19143",0
"717","99999",0
"718","19134",300
"719","19141",5000
"720","19120",0
"722","19143",6000
"723","19149",5000
"724","19114",0
"725","19149",15000
"726","19140",10000
"727","19143",0
"728","19121",150000
"729","19132",7500
"730","19133",5000
"731","19135",0
"732","19120-3135",22500
"733","19114",0
"734","19132",10000
"735","19120",50000
"736","19104",0
"737","19125",25000
"738","19144",75000
"739","19131",2e+05
"740","19104",10000
"741","19120",1e+05
"742","19134",0
"743","19046",20000
"744","19132",150000
"745","19134",20000
"746","19125",75000
"747","19131",50000
"748","19107",0
"749","19124",10000
"750","19143",0
"751","19140",0
"752","19124",25000
"753","19114",5000
"754","19140",25000
"756","19125",0
"757","19148",10000
"758","19140",15000
"759","19149",5000
"760","19104",0
"761","19149",0
"763","19124",50000
"764","19114",350000
"765","19142",5000
"766","19146",10000
"767","19149",10000
"768","19126",1e+05
"769","19140",0
"770","19146",10000
"771","19124",0
"772","19153",5000
"773","19119",12000
"774","19138",0
"776","19139",0
"777","19140",1e+05
"780","19121",50000
"781","19132",1e+05
"782","19139",0
"783","19140",20000
"785","19148",5e+05
"786","19124",150000
"787","19124",75000
"788","19134",2e+05
"789","18202",0
"790","19139",5000
"791","19707",25000
"793","19142",25000
"794","8618",0
"795","19124",0
"797","19122",1e+05
"798","19134",1e+05
"799","19134",0
"800","19134",10000
"801","19134",20000
"802","19121",1e+05
"803","19143",250000
"804","19061",0
"805","19154",5000
"806","19150",35000
"807","19144",0
"808","19140",10000
"809","19141",25000
"810","19145",2e+05
"811","19144",25000
"812","19133",50000
"813","19141",15000
"814","19143",0
"815","19120",50000
"816","19100",1e+05
"817","19401",0
"819","19135",50000
"820","19124",25000
"821","19124",150000
"822","19134",75000
"823","19082",5e+05
"824","19125",25000
"825","19134",25000
"826","19138",0
"827","19136",0
"828","19104",50000
"829","19104",10000
"830","19148",25000
"831","19132",50000
"832","19046",1e+06
"833","19140",0
"834","19122",1e+05
"835","19132",0
"836","19132",0
"837","19145",1e+06
"838","19143",25000
"839","19149",2e+05
"840","19131",50000
"841","19124",5000
"843","19143",2e+05
"844","19145",20000
"845","19128",20000
"847","19124",0
"848","19139",0
"849","19132",50000
"852","19148",0
"853","19312",0
"854","19149",7500
"855","19121",10000
"856","19145",1e+06
"857","19143",1e+06
"858","19141",20000
"859","19100",25000
"860","19144",0
"861","19134",50000
"862","19136",1e+05
"863","33065",25000
"864","19153",0
"865","19129",0
"866","19134",50000
"867","19140",7500
"868","19134",0
