bail_amount,bail_paid,felonies,misdemeanors,summaries
300000,0,2,1,0
50000,5000,1,3,0
7500,750,0,1,0
5000,0,0,0,0
0,0,0,1,0
100000,0,0,0,0
10000,0,0,0,0
0,0,2,0,0
150000,0,1,0,1
50000,0,0,1,0
10000,1000,0,0,0
25000,0,0,2,0
10000,1000,0,1,0
10000,1000,1,2,0
0,0,0,0,0
75000,0,0,0,0
0,0,0,0,0
25000,0,1,0,0
0,0,0,1,0
0,0,0,0,0
0,0,0,1,0
0,0,0,0,0
5000,0,0,1,0
50000,0,1,1,0
2500,0,0,0,1
0,0,0,0,0
0,0,0,0,0
25000,2500,0,1,1
3700,0,0,0,0
5000,500,0,2,0
0,0,0,0,0
25000,0,0,1,0
20000,2000,0,0,0
250000,0,0,1,0
0,0,0,1,0
100000,0,0,0,0
0,0,0,0,0
0,0,0,1,0
5000,500,1,1,0
50000,0,0,0,0
0,0,0,0,0
50000,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
20000,0,0,1,0
0,0,0,0,0
0,0,0,0,0
500000,0,0,0,0
0,0,0,2,0
35000,3500,0,0,0
25000,0,0,0,0
0,0,0,0,0
0,0,0,0,0
250000,0,2,2,0
0,0,0,0,0
3000,300,1,1,0
200000,0,0,2,0
300,0,0,0,0
100000,0,0,1,1
5000,0,0,1,0
0,0,0,0,0
25000,2500,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
250000,0,0,2,0
50000,5000,0,2,0
0,0,0,0,0
0,0,0,0,0
25000,0,0,0,0
25000,2500,0,0,0
12000,1200,0,2,0
5000,0,0,1,2
7500,750,0,1,0
500000,0,0,1,0
10000,0,0,1,0
0,0,0,0,0
250000,0,1,1,0
0,0,0,0,0
0,0,0,0,0
50000,0,1,1,0
0,0,0,0,0
10000,0,0,2,0
10000,0,0,0,0
100000,0,2,1,0
0,0,0,1,2
25000,0,0,0,0
0,0,0,0,0
0,0,0,0,0
20000,0,0,0,0
0,0,0,1,0
2500,0,0,2,0
200000,0,2,1,0
20000,0,0,1,0
15000,0,0,0,1
15000,1500,0,0,0
100000,0,1,1,0
20000,0,0,0,0
12000,1200,0,0,0
15000,0,1,1,0
10000,1000,0,0,0
0,0,0,0,0
75000,7500,0,1,0
50000,0,1,1,0
5000,0,0,0,0
10000,0,1,1,0
35000,3500,0,2,0
75000,0,1,1,0
20000,0,0,0,0
50000,0,1,2,0
20000,0,0,0,0
200000,20000,1,0,0
5000,500,0,0,0
25000,0,0,1,0
0,0,0,0,0
0,0,0,0,0
10000,0,1,1,0
0,0,0,0,0
25000,0,0,0,0
25000,0,0,1,0
25000,2500,0,0,0
15000,0,1,1,0
500000,0,0,0,0
200000,0,0,1,0
15000,1500,0,3,0
20000,2000,0,0,0
11000,0,0,0,0
50000,0,0,0,0
50000,0,0,0,0
50000,0,0,0,0
25000,2500,0,0,0
0,0,1,0,0
200000,0,2,0,0
25000,2500,0,0,0
50000,0,0,1,0
0,0,0,0,0
10000,1000,1,1,0
500,0,0,1,0
3700,370,0,1,0
0,0,0,0,0
100000,0,2,0,0
250000,0,1,2,0
50000,0,0,0,0
100000,0,0,0,0
100000,10000,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
25000,0,0,0,0
10000,1000,0,1,0
10000,1000,0,1,0
15000,0,0,0,0
0,0,0,0,0
10000,0,0,0,0
10000,0,0,1,0
250000,0,0,1,0
10000,0,0,1,0
0,0,1,0,0
10000,0,0,1,0
10000,1000,0,0,0
0,0,0,0,0
0,0,0,0,0
10000,0,0,0,0
3500,350,0,0,0
20000,2000,0,0,0
2500,0,0,0,0
250000,0,0,1,0
0,0,0,0,0
15000,0,1,1,0
0,0,0,0,0
100000,0,0,3,0
25000,2500,0,0,0
5000,0,0,1,0
25000,0,1,1,0
0,0,0,0,0
5000,0,0,1,0
0,0,0,0,0
20000,0,0,1,0
100000,10000,1,3,0
10000,1000,0,1,0
2500,250,0,0,0
150000,15000,0,1,0
0,0,0,0,0
100000,10000,1,3,0
10000,0,0,0,0
30000,0,0,0,0
5000,0,0,0,0
0,0,0,0,0
25000,0,0,0,0
5000,0,0,0,0
5000,0,0,0,0
75000,0,0,3,0
50000,0,0,2,1
5000,500,0,0,0
